RiskPerformance,ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance,ConditionNotMet,MonthsTrading,TotalNetFractionBurden,PercentSatisTrades
Good,72,428.0,18,102,26,0,96,14.0,6,6,26,0,19,3.129297699740315,0,22,53,2,3,2,33,False,410.0,75,100.0
Good,71,142.0,10,65,22,0,100,,7,8,23,1,45,0.36527301669652296,1,55,71,5,3,1,89,True,132.0,126,95.65217391304348
Bad,63,141.0,17,76,16,0,88,3.0,4,6,17,0,29,2.2788285664960712,0,58,58,4,2,2,100,False,124.0,116,94.11764705882354
Good,58,214.0,20,122,6,2,54,2.0,3,3,13,0,62,,0,11,60,3,2,0,83,True,194.0,71,46.15384615384615
Bad,83,92.0,2,41,18,0,100,,7,8,19,7,32,,0,13,92,7,2,0,69,True,90.0,105,94.73684210526316
Bad,72,140.0,13,61,13,0,100,,7,8,13,0,8,,3,51,58,3,2,1,60,True,127.0,109,100.0
Good,83,151.0,6,82,27,0,100,,7,8,27,2,44,-0.48519611654772077,0,17,101,2,2,0,80,True,145.0,118,100.0
Good,89,180.0,11,77,37,0,100,,7,8,41,1,24,0.5778903000075839,1,1,58,3,1,0,29,True,169.0,59,90.2439024390244
Bad,59,117.0,18,73,7,1,50,17.0,6,2,8,0,50,-0.48519611654772077,0,76,58,1,3,1,80,False,99.0,134,87.5
Bad,58,164.0,2,88,17,3,86,4.0,4,4,24,2,41,-0.48519611654772077,4,24,59,4,3,1,78,False,162.0,83,70.83333333333333
Good,66,272.0,2,95,44,0,100,,7,8,49,3,29,-0.48519611654772077,4,63,64,16,4,6,80,True,270.0,127,89.79591836734694
Good,78,192.0,3,91,55,0,98,12.0,6,6,57,2,18,0.15265573338546204,1,1,58,9,1,0,28,False,189.0,59,96.49122807017544
Bad,91,291.0,7,88,26,0,100,,7,8,26,2,35,1.0031248666297057,0,0,58,3,2,0,23,True,284.0,58,100.0
Good,85,389.0,8,97,29,0,100,,7,8,30,2,33,-0.48519611654772077,1,18,76,5,1,0,40,True,381.0,94,96.66666666666667
Bad,56,150.0,12,80,22,0,83,1.0,4,6,23,0,13,-0.48519611654772077,0,85,58,8,2,4,100,False,138.0,143,95.65217391304348
Good,81,342.0,16,129,14,1,94,50.0,6,2,18,0,39,-0.48519611654772077,0,2,14,1,3,0,100,False,326.0,16,77.77777777777777
Good,70,316.0,2,104,37,0,100,,7,8,38,4,5,-0.059961549925598906,2,43,99,8,2,2,56,True,314.0,142,97.36842105263158
Good,92,211.0,20,124,33,0,100,,7,8,34,0,15,,0,0,58,2,1,0,27,True,191.0,58,97.05882352941177
Good,70,327.0,4,82,37,0,100,,7,8,37,4,16,-0.48519611654772077,2,31,88,7,3,3,56,True,323.0,119,100.0
Bad,57,74.0,5,30,14,0,94,63.0,6,5,16,3,44,-0.48519611654772077,0,96,61,7,2,1,91,False,69.0,157,87.5
Good,63,135.0,36,70,7,0,55,1.0,4,5,11,0,55,1.2157421499407666,0,23,33,1,3,1,80,False,99.0,56,63.63636363636363
Good,73,134.0,3,55,26,0,100,,7,8,26,5,35,0.7905075833186448,0,64,33,4,2,2,64,True,131.0,97,100.0
Good,84,320.0,2,121,24,0,100,,7,8,25,2,28,,2,6,58,4,2,1,50,True,318.0,64,96.0
Bad,83,416.0,16,175,25,0,93,44.0,6,5,27,0,11,,0,22,58,6,1,0,64,True,400.0,80,92.5925925925926
Bad,56,135.0,12,74,34,0,91,3.0,4,5,35,0,20,-0.48519611654772077,9,55,48,8,3,3,61,False,123.0,103,97.14285714285714
Bad,65,157.0,6,44,13,0,93,30.0,6,5,14,4,36,0.36527301669652296,1,23,80,3,2,1,67,False,151.0,103,92.85714285714286
Bad,56,126.0,15,66,22,2,86,0.0,4,6,22,0,23,2.4914458498071324,0,21,60,4,2,0,55,False,111.0,81,100.0
Bad,84,215.0,8,73,25,0,93,38.0,6,5,27,1,41,3.767149549673498,0,0,58,0,2,0,17,False,207.0,58,92.5925925925926
Good,86,178.0,7,75,19,0,100,,7,8,19,2,16,-0.48519611654772077,1,11,58,6,2,0,46,True,171.0,69,100.0
Good,80,360.0,2,114,27,0,97,25.0,6,6,29,2,62,-0.48519611654772077,1,10,100,3,2,2,63,False,358.0,110,93.10344827586206
Good,66,272.0,3,91,27,1,89,5.0,4,6,29,3,11,-0.2725788332366598,5,20,58,3,1,0,27,False,269.0,78,93.10344827586206
Bad,72,259.0,7,82,41,0,100,,7,8,41,3,22,-0.48519611654772077,8,37,80,10,2,2,60,True,252.0,117,100.0
Bad,76,138.0,5,48,20,0,100,,7,8,20,2,35,-0.48519611654772077,0,40,72,2,2,1,50,True,133.0,112,100.0
Bad,80,94.0,3,49,27,0,100,,7,8,28,1,14,-0.48519611654772077,2,21,58,4,1,0,45,True,91.0,79,96.42857142857143
Good,67,83.0,2,36,30,0,97,25.0,6,6,32,8,44,-0.48519611654772077,3,39,89,4,8,0,80,False,81.0,128,93.75
Bad,59,166.0,13,72,16,1,68,3.0,4,2,19,0,42,1.8535939998739495,0,42,73,4,3,2,78,False,153.0,115,84.21052631578948
Bad,49,198.0,6,95,12,2,55,1.0,4,4,20,2,35,-0.48519611654772077,2,60,58,6,1,1,78,False,192.0,118,60.0
Bad,65,302.0,16,91,43,2,91,11.0,4,2,45,0,44,-0.48519611654772077,0,25,61,10,4,1,67,False,286.0,86,95.55555555555556
Good,87,269.0,3,113,25,0,100,,7,8,57,3,27,-0.059961549925598906,1,9,58,4,1,0,33,True,266.0,67,43.85964912280702
Good,87,155.0,4,70,35,0,100,,7,8,36,1,19,-0.48519611654772077,0,2,58,2,1,0,20,True,151.0,60,97.22222222222223
Good,84,373.0,16,107,32,0,100,,7,8,32,0,38,-0.48519611654772077,1,14,30,7,5,0,67,True,357.0,44,100.0
Good,74,250.0,18,81,19,0,100,,7,8,20,0,20,-0.48519611654772077,1,69,54,6,3,2,69,True,232.0,123,95.0
Bad,62,123.0,4,51,13,0,80,10.0,3,5,16,2,40,1.0031248666297057,0,97,93,2,4,2,100,False,119.0,190,81.25
Good,68,172.0,3,74,23,0,92,5.0,3,5,28,4,28,-0.059961549925598906,2,6,98,1,2,0,25,False,169.0,104,82.14285714285714
Bad,58,94.0,7,45,7,2,88,13.0,6,4,9,1,63,-0.48519611654772077,1,81,58,2,1,0,75,False,87.0,139,77.77777777777777
Bad,78,138.0,5,55,20,0,100,,7,8,20,4,25,1.2157421499407666,0,30,58,2,1,1,23,True,133.0,88,100.0
Bad,64,157.0,2,38,6,4,88,33.0,6,2,8,2,50,,1,34,95,3,2,0,83,True,155.0,129,75.0
Bad,65,64.0,6,40,14,0,100,,7,8,14,1,36,-0.48519611654772077,1,95,58,3,2,3,86,True,58.0,153,100.0
Bad,80,225.0,19,111,18,0,100,,7,8,20,0,55,-0.48519611654772077,2,5,76,3,1,0,80,True,206.0,81,90.0
Bad,73,169.0,7,76,12,1,86,9.0,1,3,14,3,14,-0.2725788332366598,5,14,58,1,2,0,33,False,162.0,72,85.71428571428571
Good,71,157.0,4,75,39,0,95,9.0,3,5,44,2,50,0.36527301669652296,3,10,65,4,4,0,50,False,153.0,75,88.63636363636364
Bad,56,189.0,10,90,27,0,69,2.0,4,6,29,1,31,-0.48519611654772077,2,62,58,7,1,2,67,False,179.0,120,93.10344827586206
Bad,64,30.0,13,20,3,0,67,13.0,6,6,4,0,100,-0.48519611654772077,0,30,72,4,3,1,100,False,17.0,102,75.0
Good,76,163.0,15,66,47,0,100,,7,8,47,0,21,-0.48519611654772077,4,9,82,5,6,1,58,True,148.0,91,100.0
Bad,54,111.0,3,67,6,2,55,3.0,0,2,11,2,0,-0.48519611654772077,4,90,58,4,2,3,83,False,108.0,148,54.54545454545455
Good,88,161.0,4,97,29,0,100,,7,8,33,3,48,-0.48519611654772077,2,7,58,1,1,0,33,True,157.0,65,87.87878787878788
Good,77,218.0,17,116,28,0,97,25.0,6,6,29,0,31,-0.48519611654772077,0,6,86,6,2,1,69,False,201.0,92,96.55172413793103
Bad,60,214.0,8,86,29,1,94,1.0,4,4,31,2,26,-0.48519611654772077,1,71,23,3,4,1,62,False,206.0,94,93.54838709677419
Good,84,192.0,22,95,18,0,100,,7,8,18,0,22,2.4914458498071324,0,18,63,2,2,0,44,True,170.0,81,100.0
Bad,55,321.0,3,102,7,0,64,2.0,4,5,11,1,27,-0.48519611654772077,0,87,100,3,2,2,100,False,318.0,187,63.63636363636363
Good,82,231.0,13,158,15,0,100,,7,8,17,0,24,,1,31,58,4,1,1,56,True,218.0,89,88.23529411764706
Bad,58,138.0,15,65,9,6,60,14.0,6,2,17,0,60,-0.48519611654772077,0,38,58,3,1,0,80,False,123.0,96,52.94117647058823
Bad,62,140.0,10,75,6,2,50,6.0,1,2,10,1,50,-0.48519611654772077,2,52,89,2,2,1,100,False,130.0,141,60.0
Good,80,263.0,6,106,26,0,92,14.0,6,6,26,2,23,-0.48519611654772077,0,14,17,4,2,1,54,False,257.0,31,100.0
Bad,68,155.0,13,48,10,2,90,8.0,4,6,12,0,40,-0.48519611654772077,0,59,49,3,4,0,100,False,142.0,108,83.33333333333333
Good,74,390.0,1,98,37,0,100,,7,8,38,5,24,-0.48519611654772077,3,22,64,4,1,1,33,True,389.0,86,97.36842105263158
Bad,67,259.0,6,91,41,0,93,0.0,4,6,53,1,26,,0,51,58,7,1,3,83,True,253.0,109,77.35849056603773
Good,64,233.0,6,89,39,0,100,,7,8,39,1,33,-0.48519611654772077,1,63,82,7,7,3,78,True,227.0,145,100.0
Good,82,336.0,4,106,23,0,100,,7,8,23,1,22,-0.48519611654772077,2,2,56,2,2,0,31,True,332.0,58,100.0
Good,57,232.0,3,83,21,0,63,0.0,4,6,24,3,29,0.36527301669652296,1,90,36,10,2,4,93,False,229.0,126,87.5
Good,86,235.0,7,111,20,0,100,,7,8,20,1,25,-0.48519611654772077,0,12,70,7,2,0,90,True,228.0,82,100.0
Good,88,331.0,3,113,20,0,100,,7,8,28,1,24,1.0031248666297057,0,10,58,4,3,0,70,True,328.0,68,71.42857142857143
Good,62,172.0,7,70,37,1,90,7.0,4,5,60,2,63,,0,44,53,6,3,1,71,True,165.0,97,61.666666666666664
Good,89,274.0,11,125,15,0,100,,7,8,15,1,20,2.916680416429254,0,6,96,3,2,0,50,True,263.0,102,100.0
Bad,75,194.0,2,78,12,0,100,,7,8,13,2,62,,1,97,86,4,3,3,100,True,192.0,183,92.3076923076923
Good,73,131.0,6,54,11,0,100,,7,8,11,1,27,-0.48519611654772077,2,76,98,5,1,2,100,True,125.0,174,100.0
Bad,63,380.0,3,94,20,2,100,,0,8,20,3,50,-0.48519611654772077,7,37,35,5,2,1,78,True,377.0,72,100.0
Bad,69,306.0,8,48,21,0,91,18.0,6,6,37,1,27,,1,38,77,5,3,2,50,True,298.0,115,56.75675675675676
Good,78,263.0,23,102,19,0,95,31.0,6,6,19,0,42,2.4914458498071324,0,17,29,6,3,0,82,False,240.0,46,100.0
Good,78,311.0,5,72,17,0,100,,7,8,17,3,35,,1,32,58,2,2,1,57,True,306.0,90,100.0
Good,63,207.0,5,87,19,0,100,,7,8,20,2,20,-0.48519611654772077,2,10,32,3,3,0,46,True,202.0,42,95.0
Bad,75,125.0,10,64,7,0,86,6.0,4,6,7,1,43,1.6409767165628886,0,5,79,1,2,0,60,False,115.0,84,100.0
Good,90,230.0,9,84,26,0,100,,7,8,28,2,57,1.4283594332518275,0,1,85,1,3,0,44,True,221.0,86,92.85714285714286
Good,59,189.0,3,107,16,0,60,8.0,4,5,20,1,25,,0,78,96,5,2,2,88,True,186.0,174,80.0
Good,92,279.0,1,167,4,0,100,,7,8,5,1,0,-0.48519611654772077,0,4,58,2,2,0,100,True,278.0,62,80.0
Bad,83,160.0,12,83,24,0,96,24.0,6,5,26,0,19,-0.48519611654772077,0,1,19,4,2,0,46,False,148.0,20,92.3076923076923
Good,84,184.0,4,98,22,0,100,,7,8,23,1,57,-0.48519611654772077,2,6,58,2,2,0,50,True,180.0,64,95.65217391304348
Bad,65,79.0,22,54,6,0,75,8.0,4,5,8,0,38,,1,77,58,4,1,0,100,True,57.0,135,75.0
Bad,61,344.0,2,87,21,1,86,2.0,4,6,22,5,45,,4,39,77,2,6,1,67,True,342.0,116,95.45454545454545
Good,85,142.0,75,106,4,0,100,,7,8,4,0,0,-0.48519611654772077,0,37,58,4,2,0,100,True,67.0,95,100.0
Bad,60,21.0,9,13,3,1,100,,6,8,3,2,33,,0,94,58,2,1,2,100,True,12.0,152,100.0
Good,85,192.0,5,92,24,0,100,,7,8,26,2,46,0.5778903000075839,1,2,91,4,2,0,67,True,187.0,93,92.3076923076923
Good,84,140.0,5,74,22,0,100,,7,8,24,2,14,-0.48519611654772077,1,36,22,1,2,0,30,True,135.0,58,91.66666666666667
Good,85,251.0,3,66,56,0,100,,7,8,61,4,26,-0.48519611654772077,4,1,58,7,1,0,36,True,248.0,59,91.80327868852459
Good,80,261.0,8,104,22,0,100,,7,8,22,1,59,,1,39,76,3,2,1,71,True,253.0,115,100.0
Good,69,183.0,7,46,21,1,86,20.0,6,2,22,2,45,-0.48519611654772077,1,36,75,1,4,0,56,False,176.0,111,95.45454545454545
Bad,72,247.0,5,93,19,1,90,6.0,4,3,23,3,19,-0.48519611654772077,4,46,89,2,2,1,67,False,242.0,135,82.6086956521739
Good,61,159.0,10,30,12,1,100,,6,8,37,2,33,1.6409767165628886,0,55,66,4,2,0,100,True,149.0,121,32.432432432432435
Bad,50,214.0,3,77,22,0,83,1.0,4,6,24,3,46,-0.48519611654772077,2,82,69,12,6,6,100,False,211.0,151,91.66666666666667
Good,54,123.0,6,54,21,0,88,4.0,4,6,26,3,42,-0.48519611654772077,0,63,45,4,3,1,78,False,117.0,108,80.76923076923077
Bad,72,216.0,2,79,23,1,85,40.0,6,2,27,4,41,-0.48519611654772077,0,47,58,3,2,1,56,False,214.0,105,85.18518518518519
Good,83,364.0,3,106,22,1,91,27.0,6,3,28,2,13,-0.48519611654772077,4,17,58,4,1,0,63,False,361.0,75,78.57142857142857
Bad,84,73.0,6,40,6,0,100,,7,8,6,1,67,-0.48519611654772077,1,1,91,1,2,0,100,True,67.0,92,100.0
Bad,61,196.13915857605178,3,58,12,4,83,18.0,6,6,12,2,33,-0.48519611654772077,2,68,65,4,3,0,64,False,193.13915857605178,133,100.0
Good,69,138.0,22,71,8,1,80,38.0,6,5,10,0,70,-0.48519611654772077,3,30,39,4,2,1,100,False,116.0,69,80.0
Bad,87,213.0,5,90,15,0,100,,7,8,15,2,27,-0.48519611654772077,1,3,58,4,1,0,56,True,208.0,61,100.0
Good,91,538.0,47,212,12,0,100,,7,8,12,0,17,-0.48519611654772077,0,4,58,1,2,0,14,True,491.0,62,100.0
Bad,73,168.0,6,75,25,0,100,,7,8,25,2,52,-0.48519611654772077,0,91,66,3,3,1,75,True,162.0,157,100.0
Good,70,204.0,20,114,27,0,85,4.0,4,6,27,0,19,-0.48519611654772077,0,8,58,2,1,0,50,False,184.0,66,100.0
Bad,70,37.0,4,20,19,0,100,,7,8,20,2,20,-0.48519611654772077,3,42,73,2,2,1,50,True,33.0,115,95.0
