ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance,DelqEver,DelqLast12M,PercentSatisfactoryTrades,NumTradesWBalance,RiskPerformance
69,167,12,60,9,3,90,31.0,7,2,10,0,20,0,0,84,18.0,2,1,2,60,True,False,90.0,6,Bad
79,157,1,51,20,0,100,122.0,7,7,38,4,14,1,1,11,,3,2,2,27,False,False,53.0,10,Bad
69,105,3,30,17,0,100,122.0,7,7,17,7,12,4,1,32,100.0,6,1,2,64,False,False,100.0,10,Bad
75,176,2,77,23,0,100,122.0,7,7,28,3,43,1,1,46,86.0,5,2,2,78,False,False,82.0,21,Good
89,159,11,62,9,0,100,122.0,7,7,9,3,22,11,0,2,,1,1,0,33,False,False,100.0,2,Good
77,316,4,85,53,0,100,122.0,7,7,57,4,21,0,1,20,97.0,10,4,3,50,False,False,93.0,28,Bad
70,386,5,92,25,0,100,122.0,7,7,25,3,56,0,4,67,89.0,4,4,2,89,False,False,100.0,22,Bad
81,134,2,60,25,0,100,122.0,7,7,27,2,15,35,1,32,48.0,6,3,0,100,False,False,93.0,27,Good
88,331,3,113,20,0,100,122.0,7,7,28,1,24,7,0,10,,4,3,0,70,False,False,71.0,19,Good
61,119,7,41,17,3,94,13.0,7,6,19,2,17,0,1,34,58.0,5,3,2,67,True,False,89.0,12,Bad
81,144,14,83,23,0,92,54.0,7,6,25,0,36,0,0,8,49.0,1,2,0,33,True,False,92.0,8,Good
72,79,2,26,13,0,100,122.0,7,7,15,2,27,0,1,28,65.0,6,3,1,69,False,False,87.0,10,Bad
80,229,0,87,12,0,100,122.0,7,7,13,2,15,0,0,53,,2,1,2,38,False,False,92.0,4,Good
68,223,4,81,25,1,76,12.0,7,4,29,5,28,15,0,33,96.0,4,3,1,50,True,False,86.0,14,Bad
60,279,2,37,29,0,97,6.0,6,6,48,7,23,35,1,31,90.0,6,3,2,45,True,True,60.0,21,Bad
72,216,2,79,23,1,85,40.0,7,2,27,4,41,0,0,47,,3,2,1,56,True,False,85.0,15,Bad
74,197,5,90,30,0,97,67.5,7,6,31,2,16,0,0,25,,6,1,2,54,True,False,97.0,16,Bad
84,170,4,67,16,0,100,122.0,7,7,17,4,53,4,2,1,68.0,1,4,0,56,False,False,94.0,9,Good
77,133,1,64,22,0,91,24.0,7,6,23,1,61,1,1,33,79.0,1,4,0,71,True,False,96.0,16,Good
76,280,12,77,25,0,100,122.0,7,7,25,0,40,0,0,17,42.0,2,4,1,50,False,False,100.0,12,Good
84,199,14,114,22,0,100,122.0,7,7,22,0,36,7,0,11,33.0,6,2,0,57,False,False,100.0,12,Good
70,241,4,88,10,0,75,56.0,7,5,13,1,50,0,0,39,68.0,4,2,2,100,True,False,77.0,13,Good
57,304,16,79,11,0,73,2.0,6,6,11,0,36,0,1,85,36.0,5,3,1,100,True,True,100.0,11,Bad
72,156,2,53,16,0,89,50.0,7,5,24,1,37,35,0,29,50.0,2,2,1,44,True,False,67.0,10,Good
63,174,1,62,11,0,79,5.0,6,5,14,1,29,0,5,37,101.0,5,2,2,70,True,True,79.0,9,Bad
87,269,3,113,25,0,100,122.0,7,7,57,3,27,2,1,9,,4,1,0,33,False,False,44.0,18,Good
73,178,2,42,11,0,100,122.0,7,7,11,2,8,35,0,40,100.0,4,1,1,71,False,False,100.0,7,Bad
92,211,20,124,33,0,100,122.0,7,7,34,0,15,35,0,0,,2,1,0,27,False,False,97.0,9,Good
62,343,3,154,16,4,60,28.0,7,2,25,2,20,0,3,59,,4,2,1,67,True,False,64.0,16,Bad
73,217,22,87,34,0,100,122.0,7,7,36,0,17,0,1,91,,7,2,3,100,False,False,94.0,36,Bad
64,201,3,78,58,0,95,59.0,7,6,58,6,21,0,3,35,99.0,9,4,3,39,True,False,100.0,22,Bad
83,204,6,98,14,0,100,122.0,7,7,14,3,21,6,0,27,,2,1,0,25,False,False,100.0,3,Good
62,172,4,71,29,0,86,2.0,6,6,29,2,28,35,1,32,50.0,2,4,2,50,True,True,100.0,14,Bad
62,144,2,43,22,0,100,122.0,7,7,23,3,35,0,1,74,41.0,6,4,3,71,False,False,96.0,16,Bad
88,274,11,105,11,0,100,122.0,7,7,11,1,18,0,0,27,1.0,3,1,0,67,False,False,100.0,7,Bad
84,131,14,84,22,0,100,122.0,7,7,22,0,36,19,0,9,37.0,2,4,0,100,False,False,100.0,22,Good
72,48,10,26,4,0,100,122.0,7,7,4,1,25,35,1,54,,3,1,0,100,False,False,100.0,4,Bad
65,56,1,35,37,0,100,122.0,7,7,39,3,13,0,0,65,93.0,15,2,8,62,False,False,95.0,24,Bad
85,389,8,97,29,0,100,122.0,7,7,30,2,33,0,1,18,76.0,5,1,0,40,False,False,97.0,12,Good
80,172,1,92,21,0,100,122.0,7,7,22,2,27,0,1,37,,4,1,1,83,False,False,95.0,18,Good
77,54,12,32,3,0,100,122.0,7,7,4,0,33,35,1,25,,2,2,0,100,False,False,75.0,4,Bad
70,204,6,77,28,0,97,2.0,6,6,50,4,23,6,0,33,97.0,3,1,1,42,True,True,56.0,21,Good
67,180,6,73,21,0,82,2.0,6,5,22,2,45,1,1,5,70.0,6,7,0,81,True,True,95.0,17,Good
88,227,4,90,11,0,100,122.0,7,7,11,1,18,35,1,3,,3,1,1,50,False,False,100.0,5,Bad
86,249,5,87,30,0,100,122.0,7,7,32,1,25,3,5,6,95.0,1,1,0,67,False,False,94.0,21,Good
57,183,4,73,24,0,79,2.0,6,6,24,3,29,1,4,59,77.0,6,3,2,82,True,True,100.0,19,Good
69,178,22,74,25,0,92,12.0,7,6,25,0,40,0,5,20,45.0,5,2,0,70,True,False,100.0,17,Bad
86,235,7,111,20,0,100,122.0,7,7,20,1,25,0,0,12,70.0,7,2,0,90,False,False,100.0,18,Good
81,325,9,117,20,0,95,35.0,7,5,21,3,52,10,0,3,31.0,2,2,0,63,True,False,95.0,13,Good
67,217,9,89,15,2,82,8.0,6,2,23,1,18,0,3,3,25.0,1,1,0,29,True,True,65.0,6,Good
78,175,17,88,39,0,100,122.0,7,7,40,0,70,5,1,33,74.0,3,2,1,83,False,False,98.0,33,Good
88,166,17,84,12,0,100,122.0,7,7,12,0,17,13,0,0,,0,1,0,25,False,False,100.0,3,Good
65,235,3,65,28,0,90,40.0,7,6,29,5,31,0,2,31,71.0,12,4,1,80,True,False,97.0,23,Bad
85,192,5,92,24,0,100,122.0,7,7,26,2,46,5,1,2,91.0,4,2,0,67,False,False,92.0,17,Good
67,181,30,78,10,0,92,1.0,6,6,13,0,62,35,1,73,42.0,2,2,1,100,True,True,77.0,13,Bad
63,141,17,76,16,0,88,3.0,6,6,17,0,29,13,0,58,,4,2,2,100,True,True,94.0,17,Bad
72,226,6,127,42,0,95,21.0,7,6,43,2,40,35,1,38,47.0,10,2,1,71,True,False,98.0,30,Good
55,127,9,60,28,0,80,7.0,6,5,30,2,47,0,0,69,142.0,7,9,1,89,True,True,93.0,26,Bad
79,190,3,53,27,0,100,122.0,7,7,28,2,4,35,0,55,,2,2,1,50,False,False,96.0,14,Bad
78,126,7,58,41,0,100,122.0,7,7,45,2,51,0,2,14,75.0,3,5,0,50,False,False,91.0,22,Good
82,156,21,84,12,0,100,122.0,7,7,12,0,42,0,0,73,68.0,3,2,0,100,False,False,100.0,12,Good
75,360,1,43,18,0,100,122.0,7,7,37,6,32,35,0,36,38.0,3,3,0,55,False,False,49.0,20,Bad
81,74,2,47,24,0,100,122.0,7,7,26,1,12,35,2,8,,2,1,0,38,False,False,92.0,9,Bad
60,303,2,116,44,0,87,5.0,7,6,45,1,27,0,0,35,70.0,6,5,1,50,True,False,98.0,22,Good
91,538,47,212,12,0,100,122.0,7,7,12,0,17,0,0,4,,1,2,0,14,False,False,100.0,1,Good
59,183,2,72,34,0,94,4.0,6,6,35,3,37,3,1,43,87.0,8,2,3,63,True,True,97.0,22,Bad
89,388,11,187,16,0,100,122.0,7,7,16,1,13,0,0,16,,4,2,0,45,False,False,100.0,7,Good
59,184,1,86,21,2,91,0.0,2,6,24,2,55,0,5,0,20.0,0,5,1,60,True,True,88.0,14,Good
64,181,4,48,26,1,93,6.0,6,2,27,4,59,0,1,30,37.0,4,4,2,69,True,True,96.0,18,Bad
69,196,3,55,8,0,73,7.0,6,5,28,2,45,0,1,27,47.0,2,2,0,67,True,True,29.0,18,Bad
62,298,16,62,30,1,97,21.0,7,3,53,0,32,35,1,70,56.0,8,3,3,79,True,False,57.0,41,Bad
87,304,7,91,23,0,100,122.0,7,7,24,1,63,0,0,8,73.0,5,2,0,78,False,False,96.0,18,Good
77,46,5,27,7,0,100,122.0,7,7,7,2,43,0,1,0,96.0,0,2,1,67,False,False,100.0,4,Bad
69,266,5,93,22,0,89,28.0,7,5,27,2,41,9,0,27,92.0,6,2,1,67,True,False,81.0,18,Bad
80,268,3,96,41,0,98,46.0,7,6,41,1,41,2,5,7,83.0,2,5,0,58,True,False,100.0,23,Good
84,138,3,69,13,0,100,122.0,7,7,13,2,31,0,0,26,,3,1,0,80,False,False,100.0,10,Good
68,217,11,109,24,0,88,18.0,7,6,24,1,17,0,4,61,,5,1,3,50,True,False,100.0,12,Good
58,94,7,45,7,2,88,67.5,7,4,9,1,63,0,1,81,,2,1,0,75,True,False,78.0,6,Bad
75,231,7,83,28,2,97,78.0,7,6,30,2,77,1,1,10,73.0,2,3,0,63,True,False,93.0,18,Good
68,180,1,91,9,1,82,22.0,7,3,11,2,9,0,2,27,,4,2,1,67,True,False,82.0,7,Bad
60,261,2,121,10,0,46,41.0,7,5,13,1,38,2,1,4,101.0,3,2,0,100,True,False,77.0,13,Good
69,252,3,90,44,0,91,7.0,6,5,46,4,20,4,1,23,100.0,11,2,1,78,True,True,96.0,35,Good
71,357,5,71,26,0,96,60.0,7,6,27,3,52,5,0,39,,3,3,1,75,True,False,96.0,20,Good
74,455,4,194,20,0,95,43.0,7,6,20,2,25,6,0,43,96.0,7,3,1,71,True,False,100.0,14,Bad
65,79,22,54,6,0,75,8.0,6,5,8,0,38,35,1,77,,4,1,0,100,True,True,75.0,8,Bad
77,216,8,137,10,0,100,122.0,7,7,10,1,0,0,3,49,,4,2,2,50,False,False,100.0,5,Bad
64,157,2,38,6,4,88,33.0,7,2,8,2,50,35,1,34,95.0,3,2,0,83,True,False,75.0,6,Bad
74,203,1,66,27,0,93,3.0,6,6,30,1,20,0,3,2,86.0,2,2,0,57,True,True,90.0,17,Good
59,180,5,55,45,1,80,0.0,6,4,49,6,65,1,2,20,87.0,7,4,0,80,True,True,92.0,39,Bad
57,260,10,136,9,3,82,2.0,2,2,11,1,18,0,1,34,,1,1,0,50,True,True,82.0,5,Bad
59,131,7,81,13,0,69,5.0,6,5,17,1,50,35,2,75,,3,2,1,100,True,True,76.0,17,Bad
61,210,4,64,28,0,93,9.0,6,6,28,3,46,0,0,52,95.0,10,2,4,86,True,True,100.0,24,Bad
61,96,3,28,9,1,80,8.0,6,2,16,3,40,35,0,26,99.0,3,2,1,63,True,True,56.0,10,Bad
71,178,12,103,28,0,90,18.0,7,5,31,0,28,1,1,56,,7,1,1,89,True,False,90.0,27,Good
75,292,7,102,22,0,100,122.0,7,7,22,1,27,7,0,31,,6,2,1,62,False,False,100.0,13,Good
73,134,3,55,26,0,100,122.0,7,7,26,5,35,6,0,64,33.0,4,2,2,64,False,False,100.0,16,Good
80,203,6,91,15,0,100,122.0,7,7,17,1,29,35,0,16,93.0,6,2,1,69,False,False,88.0,11,Bad
88,286,76,133,4,0,100,122.0,7,7,5,0,60,0,0,9,,1,2,0,100,False,False,80.0,5,Good
80,163,1,65,27,0,97,41.0,7,6,29,1,45,11,0,23,,5,1,0,67,True,False,93.0,19,Good
70,84,8,40,15,0,88,60.0,7,5,16,1,25,35,0,7,69.0,2,3,0,56,True,False,94.0,8,Bad
82,256,6,77,17,0,100,122.0,7,7,51,1,22,1,1,37,,3,1,2,80,False,False,33.0,40,Bad
54,194,11,85,11,2,43,3.0,6,2,30,1,36,35,0,55,,4,1,1,83,True,True,37.0,24,Bad
59,170,5,66,25,0,69,2.0,6,6,26,1,15,4,2,39,,8,1,1,56,True,True,96.0,14,Bad
68,141,7,51,15,0,100,122.0,7,7,15,4,33,0,0,47,92.0,5,2,1,78,False,False,100.0,11,Bad
73,159,7,60,16,0,94,15.0,7,6,16,3,44,35,0,72,94.0,5,2,0,100,True,False,100.0,16,Bad
74,385,2,72,35,1,95,69.0,7,4,37,6,49,3,1,34,95.0,3,5,0,75,True,False,95.0,27,Bad
81,137,9,66,34,0,100,122.0,7,7,34,1,62,0,1,24,92.0,3,4,0,78,False,False,100.0,26,Bad
86,274,39,106,8,0,100,122.0,7,7,8,0,50,0,0,0,12.0,1,1,0,67,False,False,100.0,5,Bad
59,291,6,128,27,4,90,3.0,4,3,31,2,23,1,1,42,59.0,2,3,1,67,True,True,87.0,20,Bad
65,176,3,93,40,0,100,122.0,7,7,45,9,36,2,2,81,71.0,8,6,2,88,False,False,89.0,39,Bad
82,235,24,123,30,0,100,122.0,7,7,32,0,38,35,0,36,,3,1,0,100,False,False,94.0,32,Good
63,137,5,70,10,4,92,6.0,2,2,13,1,75,35,1,68,90.0,1,3,0,100,True,True,77.0,13,Bad
59,187,2,62,17,0,80,50.0,7,5,20,4,20,20,0,69,,9,1,3,85,True,False,85.0,17,Bad
60,215,12,110,15,0,73,13.0,7,6,15,0,7,11,0,75,,5,2,4,64,True,False,100.0,9,Bad
58,91,4,41,31,0,100,122.0,7,7,32,5,56,0,1,71,90.0,13,4,4,100,False,False,97.0,32,Bad
82,308,8,109,38,0,100,122.0,7,7,44,2,50,3,1,1,84.0,4,1,1,38,False,False,86.0,16,Good
81,246,12,86,21,0,100,122.0,7,7,22,0,55,0,0,0,89.0,0,6,0,43,False,False,95.0,9,Good
79,125,9,57,29,0,100,122.0,7,7,33,1,45,35,1,1,71.0,1,4,0,45,False,False,88.0,14,Good
67,136,2,73,15,1,89,33.0,7,6,30,2,56,0,0,61,100.0,3,2,0,100,True,False,50.0,30,Good
75,206,4,65,15,2,88,78.0,7,2,17,1,53,35,1,0,,0,1,0,33,True,False,88.0,5,Bad
78,263,23,102,19,0,95,31.0,7,6,19,0,42,14,0,17,29.0,6,3,0,82,True,False,100.0,15,Good
80,250,5,92,40,0,100,122.0,7,7,42,3,17,0,2,19,,7,1,1,45,False,False,95.0,18,Bad
72,365,11,83,22,0,100,122.0,7,7,22,1,41,0,0,49,23.0,6,2,1,73,False,False,100.0,16,Bad
87,150,27,77,27,0,100,122.0,7,7,27,0,30,2,1,4,3.0,4,2,0,55,False,False,100.0,14,Good
88,166,3,92,10,0,100,122.0,7,7,10,1,40,0,2,0,96.0,0,1,0,25,False,False,100.0,2,Good
80,93,5,45,6,0,100,122.0,7,7,6,2,50,35,7,7,83.0,1,1,0,67,False,False,100.0,4,Bad
61,244,19,86,7,2,50,11.0,6,3,10,0,70,0,1,95,54.0,1,3,1,100,True,True,70.0,10,Bad
90,246,5,81,9,0,100,122.0,7,7,9,1,11,13,0,10,,2,2,0,50,False,False,100.0,4,Good
89,272,22,126,16,0,100,122.0,7,7,16,0,25,1,1,9,43.0,2,2,0,40,False,False,100.0,6,Bad
72,428,18,102,26,0,96,14.0,7,6,26,0,19,17,0,22,53.0,2,3,2,33,True,False,100.0,8,Good
55,101,4,29,12,0,92,2.0,6,6,13,3,38,0,0,43,83.0,5,3,2,100,True,True,92.0,13,Bad
67,217,12,82,27,3,72,30.0,7,3,32,0,41,0,3,5,85.0,1,4,1,45,True,False,84.0,14,Bad
80,146,1,38,15,0,100,122.0,7,7,30,1,13,3,2,16,,2,1,0,27,False,False,50.0,8,Bad
83,350,10,101,32,0,97,67.5,7,6,32,1,19,0,0,2,61.0,3,4,0,54,True,False,100.0,17,Bad
75,179,6,83,23,0,100,122.0,7,7,23,1,30,35,0,43,84.0,8,2,1,71,False,False,100.0,16,Bad
88,161,4,97,29,0,100,122.0,7,7,33,3,48,0,2,7,,1,1,0,33,False,False,88.0,10,Good
65,101,2,34,15,0,100,122.0,7,7,18,5,33,0,9,72,100.0,5,3,4,69,False,False,83.0,12,Bad
91,310,9,145,16,0,100,122.0,7,7,19,1,53,14,0,5,,1,1,0,40,False,False,84.0,7,Good
70,154,8,124,9,0,70,5.0,6,5,24,1,50,35,1,9,,1,1,0,40,True,True,38.0,9,Bad
88,450,33,169,14,0,100,122.0,7,7,14,0,14,0,0,0,,2,2,0,50,False,False,100.0,7,Good
69,192,2,106,27,1,88,15.0,7,4,32,5,53,35,2,15,23.0,4,4,0,67,True,False,84.0,21,Bad
84,174,3,92,17,0,100,122.0,7,7,18,1,53,0,10,6,,2,4,0,86,False,False,94.0,15,Good
69,161,4,90,19,1,89,61.0,7,6,19,2,26,35,1,38,94.0,8,1,3,90,True,False,100.0,17,Bad
62,154,6,84,11,0,92,1.0,6,5,12,1,25,0,2,5,93.0,1,2,0,75,True,True,92.0,9,Bad
59,279,4,70,7,0,63,7.0,6,6,8,2,25,1,1,72,40.0,4,2,1,86,True,True,88.0,6,Bad
80,255,3,55,23,0,100,122.0,7,7,23,3,17,2,5,2,,2,1,0,20,False,False,100.0,4,Good
64,152,3,80,31,0,94,3.0,6,6,42,2,22,12,0,18,,6,1,1,50,True,True,74.0,21,Bad
65,91,1,38,17,1,89,21.0,7,6,18,5,56,0,6,26,37.0,3,4,0,78,True,False,94.0,14,Bad
68,63,1,28,14,0,93,37.0,7,6,15,2,53,35,0,31,,1,1,0,50,True,False,93.0,7,Bad
73,214,4,122,27,0,96,34.0,7,6,31,2,37,4,3,16,93.0,2,2,0,40,True,False,87.0,12,Bad
58,125,14,62,10,5,80,1.0,6,6,10,0,60,0,2,81,,3,2,1,83,True,True,100.0,8,Good
79,168,9,58,21,0,90,76.0,7,6,21,3,38,0,0,27,88.0,5,3,0,62,True,False,100.0,13,Good
73,287,4,102,10,0,55,13.0,7,5,11,3,55,35,2,30,65.0,2,2,0,67,True,False,91.0,7,Good
67,189,13,111,8,4,70,68.0,7,3,10,0,50,0,1,97,,1,1,1,100,True,False,80.0,10,Bad
61,388,8,80,11,0,82,21.0,7,6,11,2,36,0,1,71,,4,1,3,63,True,False,100.0,6,Bad
90,230,9,84,26,0,100,122.0,7,7,28,2,57,9,0,1,85.0,1,3,0,44,False,False,93.0,12,Good
82,270,30,89,12,0,100,122.0,7,7,12,0,42,0,0,44,6.0,3,2,0,71,False,False,100.0,8,Good
81,165,12,95,17,0,100,122.0,7,7,18,0,50,0,0,21,29.0,2,2,1,80,False,False,94.0,14,Good
56,177,4,61,10,2,53,3.0,6,2,17,3,53,0,1,62,78.0,5,2,1,88,True,True,59.0,14,Good
86,153,6,94,10,0,100,122.0,7,7,11,1,73,6,0,0,87.0,0,3,0,60,False,False,91.0,6,Good
64,192,1,76,22,0,96,16.0,7,6,25,2,32,0,0,67,64.0,6,4,4,77,True,False,88.0,19,Bad
65,258,3,98,21,2,70,11.0,6,4,55,4,33,7,0,2,75.0,2,4,0,46,True,True,38.0,25,Good
74,158,2,58,36,1,97,67.5,7,6,40,5,45,0,0,0,92.0,1,3,1,57,True,False,90.0,22,Good
56,135,12,74,34,0,91,3.0,6,5,35,0,20,0,9,55,48.0,8,3,3,61,True,True,97.0,21,Bad
77,154,3,55,31,0,100,122.0,7,7,32,6,63,2,1,26,74.0,5,14,0,86,False,False,97.0,27,Bad
75,125,10,64,7,0,86,6.0,6,6,7,1,43,10,0,5,79.0,1,2,0,60,True,True,100.0,4,Bad
76,368,6,80,31,0,100,122.0,7,7,32,3,16,0,0,21,50.0,8,2,2,65,False,False,97.0,20,Good
80,344,4,92,35,0,94,59.0,7,6,38,3,26,10,0,17,86.0,5,2,0,39,True,False,92.0,14,Good
62,153,3,68,27,1,86,1.0,4,4,28,3,25,0,2,22,30.0,7,3,2,50,True,True,96.0,14,Bad
57,74,5,30,14,0,94,63.0,7,5,16,3,44,0,0,96,61.0,7,2,1,91,True,False,88.0,14,Bad
86,215,5,80,38,0,100,122.0,7,7,39,2,16,12,0,2,,1,2,0,21,False,False,97.0,8,Good
71,157,4,75,39,0,95,9.0,6,5,44,2,50,4,3,10,65.0,4,4,0,50,True,True,89.0,22,Good
74,197,1,93,31,0,86,29.0,7,5,35,3,26,0,2,28,27.0,2,4,0,40,True,False,89.0,14,Bad
69,138,22,71,8,1,80,38.0,7,5,10,0,70,0,3,30,39.0,4,2,1,100,True,False,80.0,10,Good
76,185,4,69,32,0,97,25.0,7,6,34,3,13,35,1,16,54.0,4,3,0,41,True,False,94.0,13,Good
76,138,5,48,20,0,100,122.0,7,7,20,2,35,0,0,40,72.0,2,2,1,50,False,False,100.0,10,Bad
74,435,4,192,12,0,77,18.0,7,6,13,1,8,0,0,56,,2,2,0,75,True,False,92.0,9,Good
66,174,1,75,38,0,100,122.0,7,7,40,5,40,35,6,77,60.0,4,8,3,75,False,False,95.0,30,Good
66,187,4,38,18,0,95,62.0,7,5,22,5,36,0,4,46,79.0,6,4,1,92,True,False,82.0,20,Bad
81,275,3,80,50,0,98,33.0,7,6,50,2,16,7,0,3,10.0,3,3,0,25,True,False,100.0,12,Good
62,340,3,86,21,0,91,2.0,6,5,23,3,17,0,2,50,64.0,6,2,3,67,True,True,91.0,15,Bad
85,358,36,157,4,0,80,55.0,7,5,5,0,0,0,0,0,,0,2,0,0,True,False,80.0,0,Bad
83,202,28,97,10,0,100,122.0,7,7,10,0,20,1,1,0,46.0,0,2,1,67,False,False,100.0,6,Good
68,155,13,48,10,2,90,8.0,6,6,12,0,40,0,0,59,49.0,3,4,0,100,True,True,83.0,12,Bad
86,153,17,77,19,0,100,122.0,7,7,21,0,43,0,1,8,92.0,1,4,0,83,False,False,90.0,17,Good
70,181,7,64,13,1,93,29.0,7,2,14,2,36,35,0,54,83.0,4,2,0,100,True,False,93.0,14,Good
59,156,14,63,17,2,82,67.5,7,6,19,0,24,0,1,35,76.0,6,2,2,80,True,False,89.0,15,Bad
65,340,0,95,21,1,85,65.0,7,5,26,3,81,0,0,36,59.0,2,6,1,89,True,False,81.0,23,Good
60,55,2,30,20,0,100,122.0,7,7,21,7,24,1,5,64,91.0,7,4,3,80,False,False,95.0,16,Bad
72,354,4,105,22,0,100,122.0,7,7,24,5,29,0,0,89,77.0,7,3,5,92,False,False,92.0,22,Bad
62,166,1,54,38,2,95,67.5,7,3,44,4,32,1,3,80,93.0,5,2,3,78,True,False,86.0,34,Bad
86,141,2,64,14,0,100,122.0,7,7,18,3,72,2,3,0,90.0,0,3,0,60,False,False,78.0,10,Good
88,199,9,83,17,0,100,122.0,7,7,17,1,24,35,0,0,70.0,0,2,0,50,False,False,100.0,8,Bad
75,167,1,70,7,0,88,67.5,7,6,8,1,25,0,0,18,100.0,2,2,2,57,True,False,88.0,4,Good
71,176,6,87,16,1,94,57.0,7,2,17,1,35,35,0,70,,3,2,1,75,True,False,94.0,12,Good
66,208,9,68,18,1,94,33.0,7,6,18,2,39,0,2,0,5.0,1,3,1,83,True,False,100.0,14,Bad
63,232,2,103,14,2,88,21.0,7,4,17,1,6,1,4,11,,1,2,0,17,True,False,82.0,2,Good
57,129,29,74,12,16,30,6.0,3,3,30,0,73,35,0,26,47.0,2,9,0,92,True,True,40.0,27,Bad
81,190,6,84,21,0,100,122.0,7,7,21,2,29,7,0,8,91.0,5,2,0,88,False,False,100.0,18,Good
71,178,2,68,47,1,98,8.0,6,6,62,2,6,0,5,7,,5,1,0,40,True,True,76.0,24,Good
82,172,0,71,23,0,100,122.0,7,7,24,4,54,0,1,4,81.0,4,3,0,70,False,False,96.0,16,Good
73,264,3,71,29,0,93,25.0,7,6,29,5,21,0,0,14,72.0,9,3,0,62,True,False,100.0,17,Good
